station,valid,metar
ALO,2019-08-01 00:00,KALO 010000Z AUTO 20005KT 10SM CLR 26/15 A3012 RMK T02600150 MADISHF
ALO,2019-08-01 00:05,KALO 010005Z AUTO 18005KT 10SM CLR 26/16 A3012 RMK T02600160 MADISHF
ALO,2019-08-01 00:10,KALO 010010Z AUTO 19005KT 10SM CLR 26/15 A3012 RMK T02600150 MADISHF
ALO,2019-08-01 00:15,KALO 010015Z AUTO 18004KT 10SM CLR 26/15 A3013 RMK T02600150 MADISHF
ALO,2019-08-01 00:20,KALO 010020Z AUTO 18004KT 10SM CLR 25/16 A3013 RMK T02500160 MADISHF
ALO,2019-08-01 00:25,KALO 010025Z AUTO 18005KT 10SM CLR 26/15 A3013 RMK T02600150 MADISHF
ALO,2019-08-01 00:30,KALO 010030Z AUTO 20004KT 10SM CLR 25/14 A3013 RMK T02500140 MADISHF
ALO,2019-08-01 00:35,KALO 010035Z AUTO 19004KT 10SM CLR 24/15 A3013 RMK T02400150 MADISHF
ALO,2019-08-01 00:40,KALO 010040Z AUTO 20004KT 10SM CLR 24/15 A3013 RMK T02400150 MADISHF
ALO,2019-08-01 00:45,KALO 010045Z AUTO 19004KT 10SM CLR 24/16 A3013 RMK T02400160 MADISHF
ALO,2019-08-01 00:50,KALO 010050Z AUTO 19002KT 10SM CLR 24/16 A3013 RMK T02400160 MADISHF
ALO,2019-08-01 00:54,KALO 010054Z 19003KT 10SM CLR 24/16 A3014 RMK AO2 SLP202 T02440156
ALO,2019-08-01 00:55,KALO 010055Z AUTO 18002KT 10SM CLR 24/16 A3013 RMK T02400160 MADISHF
ALO,2019-08-01 01:00,KALO 010100Z AUTO 18002KT 10SM CLR 24/16 A3013 RMK T02400160 MADISHF
ALO,2019-08-01 01:05,KALO 010105Z AUTO 18002KT 10SM CLR 24/15 A3013 RMK T02400150 MADISHF
ALO,2019-08-01 01:10,KALO 010110Z AUTO 18002KT 10SM CLR 24/15 A3012 RMK T02400150 MADISHF
ALO,2019-08-01 01:15,KALO 010115Z AUTO 18002KT 10SM CLR 24/14 A3012 RMK T02400140 MADISHF
ALO,2019-08-01 01:20,KALO 010120Z AUTO 18002KT 10SM CLR 25/14 A3012 RMK T02500140 MADISHF
ALO,2019-08-01 01:25,KALO 010125Z AUTO 18002KT 10SM CLR 24/14 A3012 RMK T02400140 MADISHF
ALO,2019-08-01 01:30,KALO 010130Z AUTO 18002KT 10SM CLR 24/14 A3012 RMK T02400140 MADISHF
ALO,2019-08-01 01:35,KALO 010135Z AUTO 00000KT 10SM CLR 24/14 A3012 RMK T02400140 MADISHF
ALO,2019-08-01 01:40,KALO 010140Z AUTO 15002KT 10SM CLR 24/14 A3012 RMK T02400140 MADISHF
ALO,2019-08-01 01:45,KALO 010145Z AUTO 07005KT 10SM CLR 23/15 A3012 RMK T02300150 MADISHF
ALO,2019-08-01 01:50,KALO 010150Z AUTO 06005KT 10SM CLR 21/17 A3012 RMK T02100170 MADISHF
